Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
2014-01-04,Sugarcane,Saline,8.0,22.02602652939094,77.97397347060905,14.17697726047571,84.5,66.0,54.0,45.86014921579415,17.041666666666668
2014-01-05,Sugarcane,Loamy,6.5,17.834470353935437,80.0,9.506498697514289,91.0,72.0,60.0,31.152430971059463,74.33333333333333
2014-01-09,Sugarcane,Saline,8.0,17.647177558269014,80.0,9.448324786815938,84.5,66.0,54.0,18.77649982530085,17.041666666666668
2014-01-10,Sugarcane,Saline,8.0,16.622591581872776,80.0,15.02587974900466,84.5,66.0,54.0,12.646138870181147,17.041666666666668
2014-01-11,Sugarcane,Saline,8.0,19.21787011390172,80.0,6.801035565280095,84.5,66.0,54.0,28.07067229128127,17.041666666666668
2014-01-12,Sugarcane,Loamy,6.5,16.378175789437037,80.0,10.836169104911985,91.0,72.0,60.0,11.598348403571068,74.33333333333333
2014-01-13,Sugarcane,Peaty,5.5,16.100371644018104,80.0,4.348349532298319,71.5,54.0,42.0,8.086610398029636,27.916666666666668
2014-01-14,Sugarcane,Clay,6.25,15.960451903163246,80.0,14.791338167562431,78.0,60.0,48.0,8.270975547813732,54.25
2014-01-15,Sugarcane,Peaty,5.5,18.98742102239157,80.0,10.435612180856374,71.5,54.0,42.0,31.511632367525827,27.916666666666668
2014-01-16,Sugarcane,Sandy,6.75,17.440220396893746,80.0,14.740402285225604,65.0,48.0,36.0,17.063669412800134,43.45833333333333
2014-01-19,Sugarcane,Loamy,6.5,15.990423803839274,80.0,9.566918764228172,91.0,72.0,60.0,10.409717527533685,74.33333333333333
2014-01-20,Sugarcane,Clay,6.25,16.63066511121059,80.0,6.246659270844091,78.0,60.0,48.0,15.738165170114904,54.25
2014-01-27,Sugarcane,Peaty,5.5,17.527509053057457,80.0,9.91322534747539,71.5,54.0,42.0,17.390977122727666,27.916666666666668
2014-01-28,Sugarcane,Peaty,5.5,17.624443893319754,80.0,15.344875271276102,71.5,54.0,42.0,16.0428751368085,27.916666666666668
2014-01-29,Sugarcane,Clay,6.25,17.529955549797673,80.0,4.007765969621479,78.0,60.0,48.0,20.46703634265537,54.25
2014-01-30,Sugarcane,Saline,8.0,18.85849355324172,80.0,1.4543721381097736,84.5,66.0,54.0,30.78973309620017,17.041666666666668
2014-01-31,Sugarcane,Sandy,6.75,23.578780040031223,76.42121995996877,12.315645985106295,65.0,48.0,36.0,57.79618804198898,43.45833333333333
2014-02-01,Sugarcane,Sandy,6.75,16.511994221191124,80.0,7.64394057246384,65.0,48.0,36.0,11.665819641542694,43.45833333333333
2014-02-02,Sugarcane,Saline,8.0,18.794642948933827,80.0,10.843574271908128,84.5,66.0,54.0,27.44316874031536,17.041666666666668
2014-02-04,Sugarcane,Clay,6.25,15.845620250495452,80.0,10.75471325449696,78.0,60.0,48.0,8.075866148676248,54.25
2014-02-06,Sugarcane,Saline,8.0,16.434587143361615,80.0,9.653133655127634,84.5,66.0,54.0,10.792014899637946,17.041666666666668
2014-02-07,Sugarcane,Loamy,6.5,21.03904654230501,78.96095345769498,9.050049912216316,91.0,72.0,60.0,73.25174743670355,74.33333333333333
2014-02-09,Sugarcane,Peaty,5.5,16.14977223921106,80.0,7.275093607102583,71.5,54.0,42.0,7.519720382061076,27.916666666666668
2014-02-10,Sugarcane,Loamy,6.5,20.009761338958832,79.99023866104116,10.615080061185637,91.0,72.0,60.0,49.194015609962605,74.33333333333333
2014-02-11,Sugarcane,Loamy,6.5,15.632245114117312,80.0,7.936187837608519,91.0,72.0,60.0,8.361673599192143,74.33333333333333
2014-02-15,Sugarcane,Saline,8.0,18.90899655656456,80.0,11.703060252803756,84.5,66.0,54.0,30.78629533722148,17.041666666666668
