temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield
25.62,48.33,609.4,21.73,142.9,17.87,9.72,111.6,588.1,374.1,106.0,52.0,88.9,8.42,6.46,24.99,cotton,DAP,77.1,0,2.35
34.26,64.39,597.6,22.97,152.2,19.47,2.59,156.0,574.9,257.6,99.9,28.3,37.2,5.55,6.79,29.93,corn,DAP,90.5,3,2.91
30.98,79.28,1125.0,17.5,150.4,27.09,13.09,349.4,338.3,317.5,76.4,55.5,51.8,8.34,18.04,26.25,soybean,urea,112.3,0,2.86
28.98,72.95,599.6,21.25,126.2,16.8,9.2,330.0,669.0,230.8,141.1,38.9,99.6,6.61,14.74,16.67,wheat,urea,168.0,1,3.31
22.34,76.3,617.6,20.72,126.0,27.39,2.36,205.2,527.4,289.0,121.5,23.1,77.6,5.53,20.81,18.71,fallow,urea,116.5,1,3.21
22.34,69.65,1007.5,23.33,130.7,11.76,14.44,213.0,445.5,202.2,179.9,76.9,113.5,7.57,23.33,19.39,sorghum,DAP,199.4,1,3.95
20.87,71.15,759.8,24.06,134.4,25.54,7.78,260.1,602.6,190.3,54.8,58.5,68.6,8.44,12.77,20.16,sorghum,DAP,173.3,2,2.98
32.99,78.21,1021.4,15.12,136.3,26.95,1.09,100.1,402.9,273.5,146.6,72.6,108.3,8.4,16.93,26.31,wheat,urea,224.8,3,3.59
29.02,51.24,452.3,21.74,147.2,13.64,9.4,172.4,577.4,249.4,164.4,60.6,70.4,5.98,15.01,25.08,corn,DAP,150.2,1,2.39
30.62,62.02,790.1,15.52,122.3,18.61,3.8,162.5,315.9,273.9,163.9,41.4,118.1,6.04,24.63,19.06,fallow,urea,116.2,2,3.13
20.31,49.95,426.9,20.49,121.4,13.31,12.06,175.1,635.8,186.0,182.9,50.8,116.4,7.2,21.62,16.35,wheat,urea,249.3,0,3.15
