temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield,yield_category
28.96,52.46,753.8,23.76,121.4,17.2,0.52,259.6,505.8,290.3,132.8,58.0,72.6,7.44,11.91,28.93,fallow,NPK,116.3,0,2.66,High
24.86,64.85,735.8,21.77,153.8,11.83,3.37,184.3,546.8,81.8,157.6,23.7,86.3,5.86,15.07,24.56,wheat,NPK,36.5,2,2.22,Medium
24.27,58.67,522.0,17.46,139.4,22.24,5.71,228.4,542.4,160.3,155.3,59.7,57.6,7.48,6.91,21.24,groundnut,urea,83.2,2,2.09,Medium
27.51,69.2,1030.4,23.06,121.6,17.87,2.2,89.6,596.5,273.9,91.5,24.8,46.8,7.24,6.58,26.03,groundnut,urea,135.7,1,2.52,High
29.19,65.0,905.9,19.82,147.2,16.38,9.31,205.5,456.1,80.1,64.6,24.3,84.2,5.87,8.94,20.26,fallow,NPK,83.8,0,2.3,Medium
26.23,51.08,967.0,22.77,120.6,18.3,10.84,227.2,420.8,229.4,55.8,39.4,86.2,7.25,5.22,15.43,cotton,NPK,33.1,0,1.97,Medium
31.81,59.56,899.4,22.65,125.8,13.69,2.54,191.5,400.5,82.1,134.9,21.5,53.1,6.21,13.6,12.29,fallow,none,154.3,0,2.06,Medium
28.85,64.67,705.8,16.14,137.5,21.68,8.97,135.8,496.3,240.8,173.8,67.9,40.1,6.28,17.39,19.46,rice,organic,62.6,0,2.14,Medium
26.81,67.17,804.1,17.87,121.1,18.04,3.14,267.8,511.5,194.5,175.0,40.0,50.3,7.23,15.87,29.88,groundnut,NPK,75.1,1,2.05,Medium
25.92,53.15,577.2,23.29,118.5,22.43,4.17,172.0,738.9,113.2,89.4,20.0,92.3,6.74,17.4,20.76,groundnut,none,94.1,1,1.78,Medium
25.43,69.5,597.0,22.16,142.2,18.05,3.15,191.1,476.1,163.0,91.3,35.1,98.8,7.11,11.06,21.85,millet,urea,84.8,2,2.44,Medium
29.29,60.31,694.4,17.08,116.7,10.91,2.54,92.5,590.7,109.3,116.4,25.7,38.6,6.01,13.94,29.87,groundnut,DAP,39.5,1,1.69,Medium
26.39,55.49,886.2,17.7,129.0,21.05,3.35,243.0,704.0,242.6,109.6,33.1,87.4,6.81,17.5,19.52,cotton,NPK,158.9,1,2.96,High
22.6,74.16,859.8,20.95,124.8,22.63,4.36,164.4,658.6,142.4,65.8,62.6,88.2,7.47,13.98,23.63,fallow,none,50.0,0,2.07,Medium
25.98,52.06,965.2,18.23,152.4,21.25,2.26,146.5,420.7,120.9,167.2,16.5,86.6,7.08,5.98,13.71,millet,organic,127.9,1,2.17,Medium
29.38,77.89,819.3,17.63,138.2,15.63,10.35,263.0,530.4,85.5,46.5,50.1,30.5,7.01,5.17,18.31,rice,DAP,148.9,0,1.9,Medium
