temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield,yield_category
23.88,76.19,790.6,18.41,121.6,27.86,1.28,362.6,365.4,362.5,190.1,67.9,48.1,7.35,8.39,27.41,wheat,NPK,284.6,0,6.08,Medium
22.76,80.49,872.4,23.93,154.6,19.87,9.07,256.7,591.8,195.9,82.8,57.4,71.5,6.47,19.8,35.14,cotton,urea,149.2,0,5.18,Medium
29.53,80.48,935.1,20.61,150.5,14.95,7.79,300.0,550.7,327.8,218.8,43.6,48.0,7.15,19.36,19.7,cotton,DAP,185.6,0,7.16,High
27.49,56.7,726.8,19.56,126.0,17.45,9.55,176.9,596.1,193.2,159.7,44.5,66.9,6.35,23.5,23.52,maize,NPK,262.1,1,6.36,Medium
31.7,82.6,1105.1,23.98,151.9,28.04,6.7,176.3,334.6,257.1,67.8,46.1,62.0,6.15,20.41,29.28,wheat,DAP,138.5,0,6.22,Medium
29.11,67.88,605.1,21.83,156.2,26.67,7.53,301.5,597.7,197.0,82.9,34.2,81.5,6.02,14.52,19.22,cotton,urea,199.1,0,5.47,Medium
20.13,71.21,843.0,20.62,120.8,12.21,3.18,186.6,625.3,317.1,140.5,62.1,96.1,6.53,26.16,36.3,maize,urea,288.2,1,6.48,Medium
20.3,69.04,892.4,17.69,152.3,23.04,1.65,265.4,340.1,304.2,95.5,53.2,58.3,6.89,16.71,25.85,fallow,NPK,275.8,1,6.04,Medium
21.33,57.44,521.0,21.27,154.7,27.78,8.6,213.1,280.9,229.4,109.5,75.0,62.5,5.8,17.93,20.86,maize,urea,228.0,3,4.76,Medium
26.46,55.09,1103.7,18.76,133.0,20.23,8.5,236.0,467.7,307.5,143.5,51.1,110.0,7.41,20.15,37.31,wheat,DAP,130.3,1,5.75,Medium
20.55,79.37,907.8,22.93,149.0,23.02,1.6,169.7,543.0,219.8,93.3,75.6,99.7,7.02,6.79,25.35,cotton,organic,134.2,0,4.77,Medium
26.62,70.92,1101.0,17.34,136.8,29.48,7.38,230.3,487.2,388.2,201.8,59.0,110.1,6.55,19.17,32.75,fallow,NPK,247.0,0,7.19,High
28.74,66.04,902.6,21.15,149.2,28.44,3.99,336.1,603.5,285.9,91.2,52.8,53.4,5.86,23.5,35.45,pulses,NPK,206.2,0,5.83,Medium
23.58,67.52,640.2,24.21,151.3,27.22,4.88,195.3,289.6,259.6,208.3,75.8,119.6,7.03,23.02,36.87,cotton,DAP,246.2,0,6.12,Medium
28.8,78.9,605.5,17.7,126.1,14.89,0.84,180.8,326.9,167.5,151.6,25.9,97.7,7.3,13.48,27.08,wheat,DAP,152.9,0,5.33,Medium
27.69,63.33,642.8,23.01,125.2,30.85,6.03,327.8,434.1,323.6,164.1,72.8,90.9,5.78,6.25,24.95,maize,NPK,227.2,0,4.96,Medium
22.65,59.61,999.0,18.16,128.1,14.73,6.98,349.0,481.1,254.6,185.8,53.8,107.2,5.73,25.07,21.25,pulses,NPK,242.2,0,5.68,Medium
21.53,66.96,535.3,21.16,155.5,25.89,8.85,325.1,434.0,180.8,117.2,62.0,98.6,7.23,24.66,33.43,wheat,NPK,283.2,1,6.11,Medium
23.93,58.95,1082.3,17.33,158.0,18.37,6.0,298.2,527.8,292.2,124.7,39.6,57.1,7.16,26.24,18.98,cotton,urea,221.2,0,5.19,Medium
24.98,62.19,817.3,20.82,129.8,31.39,9.31,159.6,544.8,337.2,151.7,25.0,61.4,6.9,16.34,24.29,maize,DAP,114.2,0,4.93,Medium
21.65,58.7,623.0,17.41,131.3,19.62,3.3,209.8,445.6,206.0,167.2,30.5,117.2,6.11,15.9,31.54,wheat,DAP,155.0,0,4.02,Medium
27.09,84.68,501.8,18.24,124.8,13.11,11.65,167.7,366.7,292.0,113.2,35.1,102.3,7.45,15.86,21.93,pulses,urea,163.6,0,5.45,Medium
24.45,61.04,1085.5,23.26,120.4,13.6,5.44,308.0,347.1,379.9,215.4,45.9,112.7,6.84,20.54,21.34,wheat,NPK,131.7,0,6.63,High
27.15,58.19,818.8,23.99,127.2,27.14,3.76,248.4,630.7,225.3,209.8,35.1,76.8,6.66,24.89,18.18,cotton,urea,258.4,0,7.8,High
