temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield
20.49,69.96,856.4,20.61,146.4,26.65,2.37,312.5,584.4,177.8,59.4,58.6,47.0,7.58,9.9,22.82,cotton,organic,39.4,0,1.99
19.63,46.46,700.9,20.07,141.4,13.56,3.35,163.8,429.9,165.9,155.9,53.7,60.8,7.2,17.07,16.5,rice,organic,32.9,2,1.8
25.84,57.13,732.0,18.42,144.5,19.73,5.29,297.7,589.1,285.2,60.2,43.5,74.6,8.0,15.62,15.86,wheat,organic,107.6,2,2.21
26.09,66.42,751.6,20.68,120.5,20.06,6.96,295.8,425.2,302.8,108.3,41.1,38.5,7.17,8.29,23.71,maize,organic,28.8,0,2.13
24.26,47.1,839.5,17.47,127.4,12.8,0.77,292.6,611.0,269.6,35.6,62.2,32.6,6.55,14.16,28.82,cotton,none,57.3,0,1.19
24.04,49.24,833.6,17.92,144.4,24.33,1.7,192.9,543.4,326.5,145.5,56.0,85.9,7.87,7.29,20.78,pulses,urea,104.2,0,1.49
26.86,59.46,854.3,16.4,142.2,12.13,9.71,242.8,398.1,176.3,148.1,26.3,80.2,6.76,19.83,31.81,wheat,NPK,40.6,0,2.01
25.59,50.32,465.9,15.25,131.8,10.63,5.74,200.2,580.5,255.7,66.9,26.6,36.6,7.38,12.0,30.29,pulses,organic,84.0,0,1.2
19.81,65.58,536.1,20.6,128.3,16.72,9.77,311.7,385.7,318.3,104.8,61.8,84.1,7.91,20.47,14.56,rice,NPK,101.5,1,2.14
19.5,53.74,551.9,21.47,121.4,15.84,8.93,173.7,534.8,290.1,78.4,42.7,91.8,7.58,7.17,20.09,rice,organic,76.9,0,1.34
