temp,humidity,rainfall,solar_radiation,soil_bdod,soil_cec,soil_cfvo,soil_clay,soil_sand,soil_silt,soil_nitrogen,soil_ocd,soil_ocs,soil_phh2o,soil_soc,soil_wv0010,previous_crop,previous_fertilizer,fertilizer_amount,cultivation_break,yield
28.56,73.43,1591.63,17.04,157.69,26.26,1.86,256.12,331.77,238.61,87.72,43.58,94.34,6.58,9.16,18.7,wheat,NPK,67.35,2,4.17
32.44,84.87,1142.64,15.26,143.77,25.62,1.38,328.19,248.18,369.73,77.6,65.5,36.27,5.63,12.71,19.28,wheat,urea,226.88,0,4.88
26.39,81.88,1502.24,18.81,132.47,26.82,2.89,371.23,203.39,366.74,102.01,19.25,46.93,6.55,13.06,35.1,rice,DAP,183.22,1,3.65
30.49,70.37,1291.91,16.5,144.82,16.5,6.75,415.61,341.81,248.46,183.69,57.29,51.35,6.43,6.61,21.11,pulses,NPK,243.75,0,3.46
32.76,74.46,1364.25,19.59,160.2,32.24,4.59,312.94,190.56,372.6,182.6,63.71,45.17,5.36,22.94,19.07,wheat,urea,224.02,0,6.18
26.81,82.08,929.84,20.61,174.84,20.43,7.26,258.32,171.43,204.67,100.85,60.78,33.53,6.65,5.01,21.12,fallow,urea,171.44,2,4.83
26.87,71.24,1854.86,18.16,148.28,20.79,8.93,312.86,192.5,194.2,121.77,52.61,65.45,6.58,9.99,30.79,rice,DAP,199.49,0,4.18
30.08,82.81,1049.32,15.27,165.63,33.23,7.0,420.07,301.46,197.12,185.91,62.56,65.9,7.2,5.14,21.48,wheat,none,251.33,0,4.57
25.21,82.28,1540.43,20.44,164.89,19.99,8.36,349.22,401.33,317.26,181.79,42.05,79.89,5.17,18.43,20.45,cotton,DAP,246.45,2,5.75
32.81,88.93,1679.28,21.22,154.12,21.0,4.27,419.99,413.48,285.43,204.88,42.13,59.13,6.02,18.86,21.89,cotton,urea,124.59,0,4.96
25.23,86.16,2013.68,20.54,168.48,18.8,1.81,180.19,331.1,304.44,165.43,44.57,35.8,5.59,19.93,30.79,cotton,urea,246.86,0,6.19
26.79,74.04,2051.18,19.59,140.67,23.93,3.78,397.49,273.53,163.68,109.58,64.5,35.7,6.48,13.55,37.07,rice,organic,198.19,0,3.78
29.62,86.5,1761.05,15.9,143.13,16.53,2.91,380.83,324.04,301.1,177.61,19.19,69.04,6.59,5.22,34.82,cotton,organic,85.12,2,4.34
28.94,66.67,1128.3,17.16,155.28,15.4,6.3,263.3,197.97,175.92,174.57,40.02,50.33,5.84,14.34,36.72,maize,NPK,77.43,0,4.5
27.45,84.67,2133.86,18.38,130.36,28.73,6.42,324.51,180.95,294.57,134.23,45.59,51.13,6.55,18.19,37.09,wheat,NPK,72.54,0,5.69
30.64,85.11,1399.89,16.78,141.18,20.62,0.81,271.13,255.52,266.69,157.89,31.44,49.24,7.42,8.74,29.93,pulses,urea,264.4,1,6.14
30.87,75.39,1505.23,20.22,137.76,24.92,5.57,376.76,310.25,214.83,157.26,52.21,30.06,5.69,10.34,37.09,cotton,urea,214.64,0,4.76
28.37,84.71,948.66,17.77,150.2,15.24,9.77,363.04,281.12,220.13,138.98,25.84,71.37,5.06,21.74,29.48,wheat,urea,202.91,1,4.73
23.54,77.72,2145.06,21.09,155.01,23.2,8.81,364.22,321.63,184.54,130.32,67.91,119.45,6.86,4.88,23.44,wheat,NPK,210.45,0,5.79
30.09,92.73,985.78,15.79,151.67,34.51,2.97,371.18,334.42,239.8,186.0,21.91,81.32,5.22,19.95,36.08,rice,organic,103.73,1,4.1
22.29,94.83,1275.31,15.78,156.49,34.63,4.51,366.13,296.99,296.92,136.93,54.87,62.42,6.85,19.65,39.95,maize,NPK,131.43,0,4.85
31.4,93.62,1402.7,17.74,164.48,26.55,7.12,398.71,334.72,246.31,180.33,41.34,78.9,7.4,17.19,38.16,cotton,none,83.65,0,5.38
25.72,67.07,1045.97,20.59,164.28,20.22,7.19,193.04,191.32,335.45,184.3,40.67,100.87,6.8,12.34,38.1,rice,urea,166.28,0,4.0
32.84,80.74,1665.55,18.06,136.06,35.6,2.53,412.89,241.99,212.82,141.0,70.13,54.75,5.42,14.84,32.13,rice,organic,191.08,0,4.82
31.85,85.66,2195.08,20.8,150.73,21.52,6.35,281.59,184.95,375.5,176.09,29.31,86.1,5.48,4.6,39.44,maize,DAP,78.72,1,5.28
32.55,91.8,1522.24,19.43,131.12,15.94,1.43,243.47,287.92,177.0,120.28,41.1,40.01,5.95,19.88,29.65,wheat,DAP,64.8,0,5.42
29.98,78.17,1146.51,16.72,145.61,34.58,4.04,439.12,330.32,205.28,73.7,21.93,81.5,5.22,15.0,30.89,wheat,urea,266.36,1,4.21
24.87,65.23,1280.37,20.19,139.95,19.54,2.72,192.3,202.49,237.36,142.04,48.7,100.3,6.89,10.37,37.57,wheat,NPK,201.14,1,3.62
30.87,79.1,922.64,19.6,133.15,34.59,5.89,406.89,160.22,387.75,145.6,53.18,65.37,5.56,13.69,20.07,cotton,organic,144.39,0,5.42
26.27,66.71,2069.88,15.53,159.13,29.95,3.08,438.06,429.63,339.78,192.28,20.96,77.83,5.69,4.71,23.2,fallow,NPK,219.28,0,4.37
28.29,83.84,1643.65,17.12,139.07,33.65,8.68,349.92,172.75,312.07,179.7,35.39,43.45,6.76,6.25,31.11,wheat,urea,148.35,0,5.0
26.46,88.76,1203.43,17.34,137.59,28.45,6.31,404.22,465.36,183.12,93.26,40.29,99.64,5.49,22.03,30.18,pulses,none,231.44,0,4.31
28.11,84.89,1537.98,16.6,168.95,28.47,6.51,430.43,135.5,356.99,156.98,38.35,39.44,6.88,17.76,27.64,rice,none,220.07,1,4.32
26.63,82.22,998.67,19.12,140.19,24.57,0.7,351.43,472.18,366.16,188.13,23.52,57.54,6.81,8.73,27.82,rice,DAP,144.15,0,3.99
31.62,80.44,1420.11,20.33,135.03,23.68,1.17,405.64,120.73,317.91,110.86,60.5,78.03,5.53,22.91,24.64,maize,organic,246.04,0,5.02
27.56,70.33,1185.76,20.91,131.12,28.97,2.39,263.14,396.47,395.68,185.85,27.85,97.99,5.27,7.22,38.86,rice,NPK,75.35,1,4.09
29.84,72.88,1633.69,15.64,145.95,25.4,5.93,255.4,484.77,329.8,202.58,72.6,91.76,5.08,8.6,29.18,pulses,urea,164.91,1,4.51
26.35,74.71,1869.95,19.23,156.17,31.49,4.26,260.1,331.44,375.67,139.48,33.05,78.56,5.69,7.62,19.68,wheat,urea,207.85,0,4.66
28.34,66.65,1439.02,21.04,169.38,22.93,0.11,214.98,407.36,250.35,172.15,63.78,52.8,5.22,8.75,21.82,maize,none,253.6,1,3.67
22.01,85.49,1754.27,20.12,169.62,23.48,9.76,213.19,390.75,202.22,122.88,70.31,95.74,5.27,6.37,28.13,wheat,DAP,118.32,0,3.59
32.53,76.55,1940.37,21.33,163.59,18.0,7.79,251.45,395.12,345.91,102.18,26.53,57.53,6.39,15.86,26.99,maize,DAP,144.32,1,6.03
25.03,88.73,1719.06,21.72,168.83,31.66,8.14,343.33,355.87,354.77,151.59,19.03,65.15,7.18,5.54,39.31,rice,DAP,181.85,0,4.75
26.71,82.67,1454.62,16.02,144.58,34.87,6.31,243.64,292.13,252.04,90.46,27.51,60.76,5.33,8.97,24.24,cotton,urea,151.04,1,4.14
29.63,91.51,1801.7,18.61,151.64,21.66,6.06,343.72,324.37,317.83,143.83,43.78,117.44,5.23,12.05,18.25,maize,urea,238.0,2,5.19
23.16,77.04,1717.38,15.11,137.05,19.9,9.3,368.5,228.73,352.42,100.41,71.73,109.39,5.94,4.99,23.67,cotton,none,74.98,3,3.48
29.72,79.08,1694.14,15.59,158.53,16.91,9.32,430.08,360.99,377.33,172.78,56.27,72.15,5.12,17.47,21.47,rice,DAP,212.34,1,5.13
32.1,86.13,2015.95,18.03,174.77,28.87,6.0,353.77,179.86,371.12,187.57,33.59,117.69,5.23,16.05,36.28,rice,NPK,67.86,0,4.46
