Date,Crop_Type,Soil_Type,Soil_pH,Temperature,Humidity,Wind_Speed,N,P,K,Crop_Yield,Soil_Quality
2014-01-01,Tomato,Clay,6.25,18.32327171374926,80.0,8.198083930243586,60.0,45.0,40.0,22.221375114874576,42.29166666666667
2014-01-02,Tomato,Clay,6.25,19.8777256356118,80.0,9.26275693771888,60.0,45.0,40.0,31.00961062150873,42.29166666666667
2014-01-03,Tomato,Loamy,6.5,17.304778077101467,80.0,13.821200860418667,70.0,54.0,50.0,19.466158350497768,58.0
2014-01-04,Tomato,Sandy,6.75,15.384474742922857,80.0,10.084298390044603,50.0,36.0,30.0,1.864858226250708,33.83333333333333
2014-01-06,Tomato,Clay,6.25,19.28199397161736,80.0,12.13032772109186,60.0,45.0,40.0,29.764974326685262,42.29166666666667
2014-01-07,Tomato,Saline,8.0,17.5934722885889,80.0,8.876435322728591,65.0,49.5,45.0,12.608628737682553,13.291666666666666
2014-01-10,Tomato,Sandy,6.75,17.480321166129375,80.0,8.70008977929232,50.0,36.0,30.0,13.945125375071612,33.83333333333333
2014-01-13,Tomato,Clay,6.25,18.22866394361624,80.0,9.95584522409519,60.0,45.0,40.0,24.00842334658653,42.29166666666667
2014-01-14,Tomato,Loamy,6.5,15.63717203334045,80.0,12.554206277136489,70.0,54.0,50.0,4.995744660303705,58.0
2014-01-16,Tomato,Sandy,6.75,15.568647301064903,80.0,12.288541872394362,50.0,36.0,30.0,3.3331373297713385,33.83333333333333
2014-01-23,Tomato,Sandy,6.75,15.674923604098442,80.0,16.127189268142217,50.0,36.0,30.0,3.899257386565272,33.83333333333333
2014-01-25,Tomato,Sandy,6.75,16.118939758194493,80.0,12.722484305251768,50.0,36.0,30.0,6.187488342851154,33.83333333333333
2014-01-28,Tomato,Saline,8.0,15.188301165839688,80.0,5.843884402990804,65.0,49.5,45.0,0.9347907990425876,13.291666666666666
2014-02-03,Tomato,Sandy,6.75,16.327019141742685,80.0,12.241495672778743,50.0,36.0,30.0,6.799436074801969,33.83333333333333
2014-02-05,Tomato,Clay,6.25,16.366881739721336,80.0,11.275536526824103,60.0,45.0,40.0,9.73039977238108,42.29166666666667
2014-02-06,Tomato,Clay,6.25,19.98906359132014,80.0,11.5232730109345,60.0,45.0,40.0,34.54769143609784,42.29166666666667
2014-02-07,Tomato,Clay,6.25,18.81099200396105,80.0,9.301984274440004,60.0,45.0,40.0,23.50139041667368,42.29166666666667
2014-02-11,Tomato,Clay,6.25,24.43307323044705,75.56692676955295,14.81835847549388,60.0,45.0,40.0,75.12163689502783,42.29166666666667
2014-02-12,Tomato,Saline,8.0,21.952498906203733,78.04750109379627,12.727648499359384,65.0,49.5,45.0,44.35484737594572,13.291666666666666
2014-02-13,Tomato,Sandy,6.75,27.07395499329316,72.92604500670684,8.177963203703635,50.0,36.0,30.0,49.38373986809903,33.83333333333333
2014-02-14,Tomato,Sandy,6.75,17.55707750464977,80.0,14.747781896444776,50.0,36.0,30.0,14.624711746839324,33.83333333333333
2014-02-16,Tomato,Peaty,5.5,15.67772296079315,80.0,8.532715642243279,55.0,40.5,35.0,3.6428935006253793,21.75
2014-02-17,Tomato,Sandy,6.75,15.771579158167931,80.0,12.66598826065288,50.0,36.0,30.0,4.027456295683434,33.83333333333333
2014-02-18,Tomato,Saline,8.0,20.005230462835705,79.9947695371643,8.44626204983863,65.0,49.5,45.0,28.61522945937368,13.291666666666666
2014-02-19,Tomato,Sandy,6.75,26.818589346483503,73.1814106535165,13.253438749219212,50.0,36.0,30.0,41.44613747879317,33.83333333333333
